# BEAST v10.5.0
# Generated Thu Apr 09 12:59:51 CEST 2026 [seed=1775732390055]
# Binome_6.xml
state	location.rates.CHN.KHM	location.rates.CHN.LAO	location.rates.CHN.THA	location.rates.CHN.VNM	location.rates.KHM.LAO	location.rates.KHM.THA	location.rates.KHM.VNM	location.rates.LAO.THA	location.rates.LAO.VNM	location.rates.THA.VNM	location.indicators.CHN.KHM	location.indicators.CHN.LAO	location.indicators.CHN.THA	location.indicators.CHN.VNM	location.indicators.KHM.LAO	location.indicators.KHM.THA	location.indicators.KHM.VNM	location.indicators.LAO.THA	location.indicators.LAO.VNM	location.indicators.THA.VNM	location.nonZeroRates
5300000	0.6168407123466361	0.06394767554995957	0.4081108781365086	0.8334471269367018	0.6519940550520922	0.5720913579229334	1.296140314907049	0.6422344105890745	0.6751428563458981	1.954292919882378	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	7.0
5400000	0.5594132017814761	0.24017401935444785	0.5555850043366576	1.0482296961822906	0.7612488196377131	0.3974732381658427	1.6365813746198108	0.3651871639119415	0.8559089236839925	1.3514376304175806	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	7.0
5500000	1.970033860506477	0.2620507131821358	0.6877141615833569	1.6135794267242125	0.4841365640471556	0.23082448080219764	1.9797349553103352	0.3428362315974072	0.7622315764673457	1.7707814896760037	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	9.0
5600000	0.289152444344045	0.29093042046811723	0.25927255310830044	0.7026394661475643	0.2428999596122336	0.26806928239351163	1.1513421715851586	0.07143546457293812	0.4488944175216108	1.4187349907549422	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	9.0
5700000	0.14360215289212258	0.17417067941877432	0.05656946225998317	1.1048463491472542	0.8078506836252511	0.7501934009720043	0.8246937814179189	0.3356578474876289	0.9167966138737125	1.8860747580295687	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	8.0
5800000	1.0768453164137815	0.6427236162609055	1.3276149434599682	2.128718440083421	1.1160869846731172	0.7831573542507615	2.354934264853342	0.5541044640857516	0.8171859573317156	3.543206825624138	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	9.0
5900000	0.37383585750760184	0.2990373298716564	0.3985623131638792	0.7927918769527333	0.3024331424114911	0.2788622827004217	0.9903729101454353	0.04428892200254265	0.5185349094761298	1.2892573718208635	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	9.0
6000000	1.043250326088747	2.8846808535266364	0.935768249186637	1.8966680977789783	0.7897141236174577	0.541254034346889	1.5685193426776445	0.4397862057603788	1.2010833254789697	2.0533025025731546	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	8.0
6100000	1.0204530727632415	0.16142275882230592	0.4039871601547924	1.0721172015573173	0.7709472244160647	0.39460021624429253	1.6005175497479844	0.42859536248145846	0.7932120829415709	1.4369726739137283	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	10.0
6200000	1.1719799680924021	0.08546000113389766	0.6082503492683813	0.9548565668499119	0.5233048730331492	0.44979699638719206	2.4671346082026173	1.4170658618693037	0.9709896460650094	1.9433073943007235	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	8.0
