id,type,length,start_time,end_time,start_name,start_lat,start_lon,end_name,end_lat,end_lon
361,External,0.05337963605022213,2023-07-03 23:23:39,2023-07-23 11:00:00,VNM,16.5,107.5,VNM,16.5,107.5
362,External,0.04404521647749854,2023-06-11 09:09:50,2023-06-27 10:59:59,VNM,16.5,107.5,VNM,16.5,107.5
363,Internal,0.0016894809005756212,2023-06-09 17:41:46,2023-06-10 08:29:45,VNM,16.5,107.5,VNM,16.5,107.5
364,Internal,0.008541373898346125,2023-06-10 08:29:45,2023-06-13 11:19:06,VNM,16.5,107.5,VNM,16.5,107.5
365,Internal,0.019358408033374547,2023-06-13 11:19:06,2023-06-20 12:53:53,VNM,16.5,107.5,VNM,16.5,107.5
366,Internal,0.03224795061763233,2023-06-20 12:53:53,2023-07-02 07:23:24,VNM,16.5,107.5,VNM,16.5,107.5
367,External,0.04698741612636903,2023-07-02 07:23:24,2023-07-19 11:00:00,VNM,16.5,107.5,VNM,16.5,107.5
368,Internal,0.01733041994863136,2023-07-02 07:23:24,2023-07-08 15:12:16,VNM,16.5,107.5,VNM,16.5,107.5
369,External,0.02965699617773767,2023-07-08 15:12:16,2023-07-19 11:00:00,VNM,16.5,107.5,THA,15.0,100.0
370,External,0.026917270150380278,2023-07-08 15:12:16,2023-07-18 11:00:00,VNM,16.5,107.5,VNM,16.5,107.5
371,Internal,0.021908596369146882,2023-06-20 12:53:53,2023-06-28 12:49:02,VNM,16.5,107.5,VNM,16.5,107.5
372,External,0.043628140237840146,2023-06-28 12:49:02,2023-07-14 10:59:59,VNM,16.5,107.5,VNM,16.5,107.5
373,Internal,0.012376931112282948,2023-06-28 12:49:02,2023-07-03 01:14:21,VNM,16.5,107.5,VNM,16.5,107.5
374,External,0.04221011323521414,2023-07-03 01:14:21,2023-07-18 11:00:00,VNM,16.5,107.5,LAO,18.0,105.0
375,Internal,0.028081876561508137,2023-07-03 01:14:21,2023-07-13 07:14:11,VNM,16.5,107.5,THA,15.0,100.0
376,External,0.027826866810720337,2023-07-13 07:14:11,2023-07-23 11:00:00,THA,15.0,100.0,THA,15.0,100.0
377,External,0.016867962701063395,2023-07-13 07:14:11,2023-07-19 11:00:00,THA,15.0,100.0,THA,15.0,100.0
378,Internal,0.0009272882459567255,2023-06-13 11:19:06,2023-06-13 19:26:29,VNM,16.5,107.5,VNM,16.5,107.5
379,External,0.07026922625739052,2023-06-13 19:26:29,2023-07-09 10:59:59,VNM,16.5,107.5,VNM,16.5,107.5
380,Internal,0.0011083534154040786,2023-06-13 19:26:29,2023-06-14 05:09:02,VNM,16.5,107.5,VNM,16.5,107.5
381,Internal,0.01853883974155432,2023-06-14 05:09:02,2023-06-20 23:33:03,VNM,16.5,107.5,CHN,35.0,105.0
382,External,0.025964498853988216,2023-06-20 23:33:03,2023-06-30 11:00:00,CHN,35.0,105.0,CHN,35.0,105.0
383,Internal,0.04629855750646894,2023-06-20 23:33:03,2023-07-07 21:07:34,CHN,35.0,105.0,CHN,35.0,105.0
384,External,0.031720735867991845,2023-07-07 21:07:34,2023-07-19 11:00:00,CHN,35.0,105.0,THA,15.0,100.0
