ID	collection_date	location
M-645	2023-06-28	VNM
M-646	2023-06-26	VNM
M-647	2023-06-26	VNM
M-648	2023-07-02	VNM
M-649	2023-07-09	VNM
M-650	2023-07-02	VNM
M-651	2023-06-26	KHM
M-652	2023-07-04	KHM
M-653	2023-07-12	KHM
M-654	2023-07-06	VNM
M-655	2023-07-03	VNM
M-656	2023-06-25	VNM
M-657	2023-06-26	KHM
M-658	2023-06-26	KHM
M-659	2023-07-07	KHM
M-660	2023-07-02	VNM
M-661	2023-07-07	KHM
M-662	2023-06-25	KHM
M-663	2023-07-02	VNM
M-664	2023-06-26	VNM
M-665	2023-06-26	VNM
M-666	2023-07-15	VNM
M-667	2023-06-26	VNM
M-668	2023-06-27	VNM
M-669	2023-06-26	VNM
M-670	2023-07-03	VNM
M-671	2023-06-27	VNM
M-672	2023-06-27	VNM
M-673	2023-06-25	KHM
M-674	2023-06-26	KHM
M-675	2023-06-27	VNM
M-676	2023-06-26	VNM
M-677	2023-07-02	VNM
M-678	2023-06-26	CHN
M-679	2023-06-26	VNM
M-680	2023-06-25	VNM
M-681	2023-06-30	VNM
M-682	2023-07-04	VNM
M-683	2023-07-14	VNM
M-684	2023-06-26	VNM
M-685	2023-06-26	KHM
M-686	2023-06-25	VNM
M-687	2023-07-01	VNM
M-688	2023-06-27	KHM
M-689	2023-07-14	KHM
M-690	2023-07-02	KHM
M-691	2023-07-09	VNM
M-692	2023-06-26	VNM
M-693	2023-07-04	VNM
M-694	2023-06-30	VNM
M-695	2023-07-18	VNM
M-696	2023-06-26	VNM
M-697	2023-06-26	KHM
M-698	2023-06-26	KHM
M-699	2023-06-30	VNM
